step,loss_conf_fat,loss_pred_conf,loss_pred_mode,confidence_level,fatigue_level,predicted_confidence,mode_error
264,0.000005,0.000004,0.534466,0.9984,0.7253,0.9965,0
265,0.000003,0.000004,0.533789,0.9984,0.7261,0.9965,0
266,0.000002,0.000003,0.533063,0.9984,0.7260,0.9965,0
267,0.000001,0.000003,0.532293,0.9984,0.7256,0.9965,0
268,0.000001,0.000003,0.531483,0.9984,0.7249,0.9965,0
269,0.000001,0.000003,0.530637,0.9984,0.7241,0.9965,0
270,0.000001,0.000003,0.529758,0.9984,0.7233,0.9965,0
271,0.000000,0.000000,0.785071,0.9995,0.7275,0.9989,1
272,0.000009,0.000009,0.528140,0.9984,0.7224,0.9966,0
273,0.000001,0.000000,0.785913,0.9996,0.7284,0.9989,1
274,0.000006,0.000009,0.526881,0.9984,0.7244,0.9966,0
275,0.000004,0.000003,0.526322,0.9984,0.7258,0.9966,0
276,0.000003,0.000003,0.525668,0.9984,0.7265,0.9966,0
277,0.000002,0.000003,0.524965,0.9984,0.7264,0.9966,0
278,0.000001,0.000003,0.524218,0.9984,0.7259,0.9967,0
279,0.000001,0.000003,0.523430,0.9984,0.7253,0.9967,0
280,0.000001,0.000003,0.522606,0.9984,0.7245,0.9967,0
281,0.000001,0.000003,0.521748,0.9984,0.7237,0.9967,0
282,0.000001,0.000000,0.790268,0.9996,0.7275,0.9990,1
283,0.000008,0.000008,0.520163,0.9985,0.7229,0.9967,0
284,0.000000,0.000000,0.791040,0.9996,0.7286,0.9990,1
285,0.000005,0.000008,0.518933,0.9985,0.7249,0.9968,0
286,0.000004,0.000003,0.518391,0.9985,0.7264,0.9967,0
287,0.000003,0.000003,0.517750,0.9985,0.7270,0.9968,0
288,0.000002,0.000003,0.517060,0.9985,0.7269,0.9968,0
289,0.000001,0.000003,0.516327,0.9985,0.7264,0.9968,0
290,0.000001,0.000003,0.515554,0.9985,0.7257,0.9968,0
291,0.000001,0.000003,0.514745,0.9985,0.7249,0.9968,0
292,0.000001,0.000003,0.513902,0.9985,0.7240,0.9968,0
293,0.000001,0.000003,0.513029,0.9985,0.7232,0.9968,0
294,0.000001,0.000000,0.795952,0.9996,0.7270,0.9990,1
295,0.000007,0.000007,0.511415,0.9985,0.7224,0.9969,0
296,0.000001,0.000000,0.796767,0.9996,0.7283,0.9990,1
297,0.000005,0.000007,0.510165,0.9985,0.7245,0.9969,0
298,0.000004,0.000003,0.509623,0.9985,0.7260,0.9969,0
299,0.000002,0.000003,0.508976,0.9985,0.7266,0.9969,0
300,0.000001,0.000003,0.508284,0.9985,0.7265,0.9969,0
301,0.000001,0.000003,0.507552,0.9986,0.7259,0.9969,0
302,0.000001,0.000003,0.506783,0.9986,0.7252,0.9969,0
303,0.000001,0.000003,0.505978,0.9986,0.7244,0.9969,0
304,0.000001,0.000003,0.505142,0.9986,0.7236,0.9969,0
305,0.000001,0.000000,0.801092,0.9996,0.7275,0.9991,1
306,0.000008,0.000007,0.503602,0.9986,0.7227,0.9970,0
307,0.000001,0.000000,0.801876,0.9996,0.7288,0.9991,1
308,0.000005,0.000007,0.502443,0.9986,0.7248,0.9970,0
309,0.000004,0.000003,0.501956,0.9986,0.7264,0.9970,0
310,0.000002,0.000003,0.501352,0.9986,0.7270,0.9970,0
311,0.000001,0.000003,0.500703,0.9986,0.7269,0.9970,0
312,0.000001,0.000003,0.500013,0.9986,0.7263,0.9970,0
313,0.000001,0.000003,0.499285,0.9986,0.7256,0.9970,0
314,0.000001,0.000002,0.498520,0.9986,0.7248,0.9970,0
315,0.000001,0.000002,0.497722,0.9986,0.7239,0.9970,0
316,0.000001,0.000002,0.496894,0.9986,0.7231,0.9970,0
317,0.000001,0.000000,0.806977,0.9996,0.7269,0.9991,1
318,0.000007,0.000006,0.495370,0.9986,0.7223,0.9971,0
319,0.000001,0.000000,0.807784,0.9996,0.7283,0.9991,1
320,0.000005,0.000006,0.494232,0.9986,0.7244,0.9971,0
321,0.000004,0.000002,0.493762,0.9986,0.7260,0.9971,0
322,0.000002,0.000002,0.493171,0.9986,0.7266,0.9971,0
323,0.000001,0.000002,0.492538,0.9986,0.7264,0.9971,0
324,0.000001,0.000002,0.491867,0.9986,0.7259,0.9971,0
325,0.000001,0.000002,0.491158,0.9986,0.7251,0.9971,0
326,0.000001,0.000002,0.490415,0.9986,0.7243,0.9971,0
327,0.000001,0.000002,0.489653,0.9986,0.7234,0.9971,0
328,0.000001,0.000000,0.812008,0.9996,0.7273,0.9991,1
329,0.000007,0.000006,0.488224,0.9987,0.7226,0.9972,0
330,0.000001,0.000000,0.812673,0.9996,0.7287,0.9991,1
331,0.000005,0.000006,0.487175,0.9987,0.7249,0.9972,0
332,0.000004,0.000002,0.486771,0.9987,0.7265,0.9972,0
333,0.000002,0.000002,0.486217,0.9987,0.7271,0.9972,0
334,0.000001,0.000002,0.485625,0.9987,0.7269,0.9972,0
335,0.000001,0.000002,0.485000,0.9987,0.7262,0.9972,0
336,0.000001,0.000002,0.484339,0.9987,0.7255,0.9972,0
337,0.000001,0.000002,0.483645,0.9987,0.7247,0.9972,0
338,0.000001,0.000002,0.482919,0.9987,0.7238,0.9972,0
