step,loss,confidence_level,fatigue_level
317,0.000004,0.9970,0.7884
318,0.000038,0.9913,0.7682
319,0.000004,0.9971,0.7884
320,0.000037,0.9914,0.7682
321,0.000004,0.9971,0.7884
322,0.000037,0.9914,0.7682
323,0.000004,0.9971,0.7884
324,0.000037,0.9914,0.7682
325,0.000004,0.9971,0.7884
326,0.000036,0.9915,0.7682
327,0.000004,0.9971,0.7884
328,0.000036,0.9915,0.7683
329,0.000004,0.9971,0.7884
330,0.000035,0.9916,0.7683
331,0.000004,0.9972,0.7884
332,0.000035,0.9916,0.7683
333,0.000004,0.9972,0.7884
334,0.000035,0.9917,0.7683
335,0.000004,0.9972,0.7884
336,0.000034,0.9917,0.7683
337,0.000004,0.9972,0.7884
338,0.000034,0.9917,0.7684
339,0.000004,0.9972,0.7884
340,0.000034,0.9918,0.7684
341,0.000004,0.9972,0.7884
342,0.000033,0.9918,0.7684
343,0.000004,0.9973,0.7884
344,0.000033,0.9919,0.7684
345,0.000004,0.9973,0.7885
346,0.000033,0.9919,0.7684
347,0.000004,0.9973,0.7885
348,0.000032,0.9919,0.7685
349,0.000004,0.9973,0.7885
350,0.000032,0.9920,0.7685
351,0.000004,0.9973,0.7885
352,0.000032,0.9920,0.7685
353,0.000004,0.9973,0.7885
354,0.000031,0.9921,0.7685
355,0.000004,0.9973,0.7885
356,0.000031,0.9921,0.7685
357,0.000003,0.9974,0.7886
358,0.000031,0.9921,0.7686
359,0.000003,0.9974,0.7886
360,0.000031,0.9922,0.7686
361,0.000003,0.9974,0.7886
362,0.000030,0.9922,0.7686
363,0.000003,0.9974,0.7886
364,0.000030,0.9922,0.7686
365,0.000003,0.9974,0.7886
366,0.000030,0.9923,0.7686
367,0.000003,0.9974,0.7886
368,0.000029,0.9923,0.7687
369,0.000003,0.9974,0.7887
370,0.000029,0.9924,0.7687
371,0.000003,0.9975,0.7887
372,0.000029,0.9924,0.7687
373,0.000003,0.9975,0.7887
374,0.000029,0.9924,0.7687
375,0.000003,0.9975,0.7887
376,0.000028,0.9925,0.7687
377,0.000003,0.9975,0.7887
378,0.000028,0.9925,0.7688
379,0.000003,0.9975,0.7888
380,0.000028,0.9925,0.7688
381,0.000003,0.9975,0.7888
382,0.000028,0.9926,0.7688
383,0.000003,0.9975,0.7888
384,0.000027,0.9926,0.7688
385,0.000003,0.9975,0.7888
386,0.000027,0.9926,0.7688
387,0.000003,0.9976,0.7888
388,0.000027,0.9927,0.7689
389,0.000003,0.9976,0.7888
390,0.000027,0.9927,0.7689
391,0.000003,0.9976,0.7889
392,0.000026,0.9927,0.7689
393,0.000003,0.9976,0.7889
394,0.000026,0.9928,0.7689
395,0.000003,0.9976,0.7889
396,0.000026,0.9928,0.7689
397,0.000003,0.9976,0.7889
398,0.000026,0.9928,0.7690
399,0.000003,0.9976,0.7889
400,0.000026,0.9928,0.7690
401,0.000003,0.9976,0.7890
402,0.000025,0.9929,0.7690
403,0.000003,0.9977,0.7890
404,0.000025,0.9929,0.7690
405,0.000003,0.9977,0.7890
406,0.000025,0.9929,0.7690
407,0.000003,0.9977,0.7890
408,0.000025,0.9930,0.7690
409,0.000003,0.9977,0.7890
410,0.000025,0.9930,0.7691
411,0.000003,0.9977,0.7890
412,0.000024,0.9930,0.7691
413,0.000003,0.9977,0.7891
414,0.000024,0.9931,0.7691
415,0.000003,0.9977,0.7891
416,0.000024,0.9931,0.7691
417,0.000003,0.9977,0.7891
418,0.000024,0.9931,0.7691
419,0.000003,0.9977,0.7891
420,0.000024,0.9931,0.7691
421,0.000003,0.9978,0.7891
422,0.000023,0.9932,0.7692
423,0.000002,0.9978,0.7891
424,0.000023,0.9932,0.7692
425,0.000002,0.9978,0.7892
426,0.000023,0.9932,0.7692
427,0.000002,0.9978,0.7892
428,0.000023,0.9932,0.7692
429,0.000002,0.9978,0.7892
430,0.000023,0.9933,0.7692
431,0.000002,0.9978,0.7892
432,0.000022,0.9933,0.7692
433,0.000002,0.9978,0.7892
434,0.000022,0.9933,0.7693
435,0.000002,0.9978,0.7892
436,0.000022,0.9934,0.7693
437,0.000002,0.9978,0.7893
438,0.000022,0.9934,0.7693
439,0.000002,0.9978,0.7893
440,0.000022,0.9934,0.7693
441,0.000002,0.9979,0.7893
442,0.000022,0.9934,0.7693
443,0.000002,0.9979,0.7893
444,0.000021,0.9935,0.7693
445,0.000002,0.9979,0.7893
446,0.000021,0.9935,0.7694
447,0.000002,0.9979,0.7893
448,0.000021,0.9935,0.7694
449,0.000002,0.9979,0.7894
450,0.000021,0.9935,0.7694
451,0.000002,0.9979,0.7894
452,0.000021,0.9936,0.7694
453,0.000002,0.9979,0.7894
454,0.000021,0.9936,0.7694
